date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:31	44763/44763	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Jun%202018%2013:36:39%20GMT	https://colorlib.com/preview/theme/brighthotel/	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/index.html	(from )
11:22:32	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
11:22:33	9467/9467	---MCZ	200	added ('OK')	text/css	etag:W/%225b378779-24fb%22	https://colorlib.com/preview/theme/brighthotel/css/open-iconic-bootstrap.min.css	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/css/open-iconic-bootstrap.min.css	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:33	73673/73673	---MCZ	200	added ('OK')	text/css	etag:W/%225b37876f-11fc9%22	https://colorlib.com/preview/theme/brighthotel/css/animate.css	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/css/animate.css	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:34	965/965	---MCZ	200	added ('OK')	text/css	etag:W/%225b37877a-3c5%22	https://colorlib.com/preview/theme/brighthotel/css/owl.theme.default.min.css	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/css/owl.theme.default.min.css	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:35	6950/6950	---MCZ	200	added ('OK')	text/css	etag:W/%225b378778-1b26%22	https://colorlib.com/preview/theme/brighthotel/css/magnific-popup.css	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/css/magnific-popup.css	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:35	25983/25983	---MCZ	200	added ('OK')	text/css	etag:W/%225b37876f-657f%22	https://colorlib.com/preview/theme/brighthotel/css/aos.css	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/css/aos.css	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:35	46816/46816	---MCZ	200	added ('OK')	text/css	etag:W/%225b378775-b6e0%22	https://colorlib.com/preview/theme/brighthotel/css/ionicons.min.css	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/css/ionicons.min.css	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:35	2936/2936	---MCZ	200	added ('OK')	text/css	etag:W/%225b378779-b78%22	https://colorlib.com/preview/theme/brighthotel/css/owl.carousel.min.css	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/css/owl.carousel.min.css	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:36	17945/17945	---MCZ	200	added ('OK')	text/css	etag:W/%225b378770-4619%22	https://colorlib.com/preview/theme/brighthotel/css/bootstrap-datepicker.css	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/css/bootstrap-datepicker.css	(from https://colorlib.com/preview/theme/brighthotel/)
